Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Sat Nov  8 09:46:29 2025,1.104,9.37824,3.26177,3,3.31907,16.0665
Sat Nov  8 09:46:29 2025,0.904,10.7181,3.48863,3,4.52995,14.9264
Sat Nov  8 09:46:29 2025,1.29,47.6059,5.198,3,38.2942,72.29
Sat Nov  8 09:54:00 2025,0.91,6.62,2.66706,5,2.95896,8.49271
Sat Nov  8 09:54:00 2025,1.176,8.49706,2.63659,3,4.86333,13.0857
Sat Nov  8 09:54:00 2025,1.196,42.3548,5.08129,3,36.9429,67.0561
Sat Nov  8 09:56:44 2025,0.96,6.60977,2.87817,3,5.28001,8.46786
Sat Nov  8 09:56:44 2025,1.048,11.1129,3.5837,3,4.14291,16.3982
Sat Nov  8 09:56:44 2025,1.252,45.7413,5.07904,5,32.5603,70.232
Sat Nov  8 09:57:51 2025,1,12.4071,3.74674,3,5.38242,17.9671
Sat Nov  8 09:57:51 2025,1.216,40.9496,5.06781,3,36.9266,66.9809
Sat Nov  8 09:57:51 2025,1.152,42.0189,5.96801,3,38.6484,68.8571
Sat Nov  8 09:59:04 2025,0.922,9.60538,2.9811,3,5.39052,14.9014
Sat Nov  8 09:59:04 2025,1.144,20.3651,3.3036,10,5.17153,27.8894
Sat Nov  8 09:59:04 2025,1.056,53.7214,5.73716,1,50.7759,100.966
Sat Nov  8 10:00:30 2025,1.014,9.14018,2.91633,3,5.10272,15.3697
Sat Nov  8 10:00:31 2025,0.998,11.9082,3.51226,3,4.39647,17.073
Sat Nov  8 10:00:31 2025,1.192,39.9695,5.4403,3,37.3191,83.2074
Sat Nov  8 10:01:46 2025,1.182,13.046,3.44852,3,7.66079,23.6031
Sat Nov  8 10:01:46 2025,1.018,14.0597,3.58603,11,5.19566,24.1757
Sat Nov  8 10:01:46 2025,1.246,41.5897,5.10377,3,36.539,97.6392
Sat Nov  8 10:02:54 2025,1.256,8.90912,2.5478,3,5.16771,19.3382
Sat Nov  8 10:02:54 2025,1.23,11.3068,3.42486,3,3.90522,22.4065
Sat Nov  8 10:02:54 2025,1.126,17.2088,3.54914,10,5.21697,27.2143
Sat Nov  8 10:04:29 2025,1.188,9.56792,3.06391,3,3.02865,21.6525
Sat Nov  8 10:04:28 2025,1.144,10.9562,3.03478,3,5.60573,22.3602
Sat Nov  8 10:04:28 2025,1.26,46.2954,5.0763,3,37.391,107.659
Sat Nov  8 10:05:26 2025,1.068,10.1426,3.54312,3,3.81424,21.9937
Sat Nov  8 10:05:26 2025,0.958,12.7836,3.77316,3,5.69757,24.5886
Sat Nov  8 10:05:26 2025,1.208,20.0335,3.40989,8,5.68619,36.3556
Sat Nov  8 10:06:11 2025,1.14,8.16912,2.53982,3,5.08278,17.9463
Sat Nov  8 10:06:11 2025,0.938,9.28617,3.30584,3,4.19681,18.9069
Sat Nov  8 10:06:11 2025,1.104,11.7102,3.52544,3,4.23296,22.8864
Sat Nov  8 10:06:56 2025,1.114,7.49206,2.72929,3,3.01816,16.6762
Sat Nov  8 10:06:56 2025,1.256,15.7193,3.66722,3,8.00698,25.6601
Sat Nov  8 10:06:56 2025,1.282,16.9089,2.98281,10,4.73542,28.8058
Sat Nov  8 10:07:31 2025,1.05,11.2145,3.43773,3,4.38426,20.3019
Sat Nov  8 10:07:31 2025,0.988,11.6261,3.52747,3,4.4535,19.9955
Sat Nov  8 10:07:31 2025,1.238,13.3005,3.50481,3,7.84037,20.6399
Sat Nov  8 10:08:24 2025,1.024,9.3336,2.8913,3,5.35002,19.0373
Sat Nov  8 10:08:24 2025,1.19,10.8638,3.4404,3,3.74979,21.8617
Sat Nov  8 10:08:24 2025,1.242,20.4107,4.46715,1,16.6175,40.6415
Sat Nov  8 10:09:20 2025,1.22,9.17028,2.6084,3,5.32392,19.2325
Sat Nov  8 10:09:20 2025,0.926,9.63053,3.30326,3,4.31663,17.9229
Sat Nov  8 10:09:20 2025,0.93,10.6845,3.63598,3,4.3465,19.5204
Sat Nov  8 10:10:08 2025,0.984,9.52672,3.02607,3,5.15892,17.1879
Sat Nov  8 10:10:09 2025,1.186,9.27664,3.18933,3,3.0887,18.0588
Sat Nov  8 10:10:08 2025,1.248,45.9342,5.09392,3,37.5227,112.487
Sat Nov  8 10:11:11 2025,1.034,10.2062,3.24637,3,4.43622,20.4446
Sat Nov  8 10:11:12 2025,1.196,13.9935,2.91782,11,5.82597,22.8497
Sat Nov  8 10:11:11 2025,1.074,19.542,4.55799,1,16.7336,34.2233
Sat Nov  8 10:12:03 2025,1.238,7.69274,2.68503,3,3.01296,15.9904
Sat Nov  8 10:12:03 2025,0.944,12.1901,3.7237,3,5.05707,20.1493
Sat Nov  8 10:12:02 2025,1.288,46.2634,5.18255,3,37.9428,109.216
Sat Nov  8 10:13:10 2025,0.978,8.37319,2.8846,3,4.72863,14.3855
Sat Nov  8 10:13:10 2025,1.232,14.4729,3.56558,3,5.37156,19.9677
Sat Nov  8 10:13:09 2025,1.086,46.0363,5.25494,4,35.0471,53.0276
Sat Nov  8 10:37:32 2025,1.122,7.78629,2.62466,3,4.30345,15.169
Sat Nov  8 10:37:33 2025,1.294,8.66622,2.60751,3,3.55134,17.0607
Sat Nov  8 10:37:33 2025,1.246,13.4223,3.59538,3,5.32616,22.0077
Sat Nov  8 10:38:19 2025,1.264,9.02447,2.55749,3,4.76319,17.7219
Sat Nov  8 10:38:19 2025,1.036,10.3061,3.5278,3,3.90563,17.8929
Sat Nov  8 10:38:19 2025,1.05,13.3277,3.61282,3,5.25751,21.9074
Sat Nov  8 10:38:50 2025,0.992,7.9362,2.91044,3,4.31728,17.2399
Sat Nov  8 10:38:50 2025,1.008,9.87986,3.29034,3,4.25632,19.8487
Sat Nov  8 10:38:50 2025,1.212,16.8222,3.54449,10,5.02571,26.6689
Sat Nov  8 10:39:28 2025,0.932,8.25263,3.2335,3,2.96345,16.5799
Sat Nov  8 10:39:28 2025,1.194,9.3049,3.11855,3,3.0209,18.9675
