Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Fri Nov  7 15:21:43 2025,0.984,12.0498,3.7366,3,5.13729,28.4791
Fri Nov  7 15:21:43 2025,1.104,31.5447,3.80931,12,7.82481,62.7242
Fri Nov  7 15:21:43 2025,1.294,125.235,4.49676,45,41.2077,288.998
Fri Nov  7 15:24:19 2025,1.08,9.28554,3.24732,3,3.26018,21.5111
Fri Nov  7 15:24:18 2025,1.04,19.7372,3.60616,7,7.69729,39.9715
Fri Nov  7 15:24:19 2025,1.16,21.4297,3.6273,10,5.84417,42.3629
Fri Nov  7 15:24:50 2025,1.268,11.0107,3.4785,3,4.04114,24.7052
Fri Nov  7 15:24:50 2025,1.024,11.9083,3.79771,3,5.4291,25.9024
Fri Nov  7 15:24:50 2025,1.294,125.367,4.37816,45,42.1801,290.525
Fri Nov  7 15:27:05 2025,0.992,9.79465,2.82657,6,3.60632,21.3778
Fri Nov  7 15:27:05 2025,0.9,16.5205,3.42161,7,5.66311,33.5306
Fri Nov  7 15:27:05 2025,1.09,26.5714,3.37832,13,7.62034,56.6448
Fri Nov  7 15:27:48 2025,0.916,8.28819,2.2708,6,2.56898,18.1211
Fri Nov  7 15:27:48 2025,1.13,17.1321,3.06326,9,5.17657,32.7238
Fri Nov  7 15:27:48 2025,1.036,18.1574,3.22106,9,5.73082,33.8506
Fri Nov  7 15:30:32 2025,0.99,7.05494,2.7613,3,3.09496,17.3882
Fri Nov  7 15:30:32 2025,0.968,10.7992,3.46315,3,3.66223,23.7224
Fri Nov  7 15:30:32 2025,1.176,28.8106,3.74682,11,7.70791,61.1102
Fri Nov  7 15:31:14 2025,1.21,7.61274,2.7829,3,3.04971,18.1968
Fri Nov  7 15:31:13 2025,1.254,20.5393,4.89084,1,16.606,50.495
Fri Nov  7 15:31:14 2025,1.2,26.8308,3.45675,14,4.16798,52.4263
Fri Nov  7 15:31:54 2025,1.168,9.0907,3.16201,3,2.97145,21.0088
Fri Nov  7 15:31:54 2025,1.172,9.62625,3.10806,3,3.44166,21.7736
Fri Nov  7 15:31:54 2025,1.25,33.2316,3.38114,17,7.1822,71.8149
Fri Nov  7 15:32:37 2025,1.124,21.4643,3.59288,9,5.89701,41.4007
Fri Nov  7 15:32:37 2025,1.27,26.4208,3.25451,14,3.77833,48.3497
Fri Nov  7 15:32:37 2025,1.276,92.3487,4.36139,27,38.1837,216.268
Fri Nov  7 15:34:25 2025,0.948,7.37788,2.81347,3,3.29155,15.4841
Fri Nov  7 15:34:25 2025,0.904,8.30878,2.49336,5,4.01094,15.7939
Fri Nov  7 15:34:25 2025,1.038,14.3528,3.10942,10,3.60071,25.2739
Fri Nov  7 15:35:47 2025,0.912,9.11841,3.23591,3,3.36437,20.3672
Fri Nov  7 15:35:47 2025,1.22,25.588,3.25086,13,5.30977,51.8541
Fri Nov  7 15:35:47 2025,1.258,41.8426,3.61868,21,7.48291,86.6373
Fri Nov  7 15:36:37 2025,1.218,9.43553,3.1353,3,3.22073,21.1147
Fri Nov  7 15:36:37 2025,0.98,15.0845,3.0407,9,4.60159,27.2146
Fri Nov  7 15:36:37 2025,1.026,18.5135,3.25897,9,5.61366,34.5026
Fri Nov  7 15:37:13 2025,0.982,12.3032,3.70918,3,5.13279,27.6912
Fri Nov  7 15:37:13 2025,0.914,17.5682,3.62417,7,5.73585,31.849
Fri Nov  7 15:37:13 2025,1.058,27.037,3.29065,14,7.43822,51.5371
Fri Nov  7 15:37:57 2025,1.006,9.09892,2.30894,6,2.56894,18.145
Fri Nov  7 15:37:57 2025,1.156,9.19199,3.20084,3,3.08391,19.1955
Fri Nov  7 15:37:57 2025,0.974,16.0607,3.26898,10,3.71239,27.2645
Fri Nov  7 15:38:33 2025,1.008,12.456,3.76328,3,5.6281,26.6277
Fri Nov  7 15:38:33 2025,0.986,22.2223,3.75579,7,7.70731,43.0236
Fri Nov  7 15:38:33 2025,1.236,25.7774,3.27861,13,7.21946,50.3591
Fri Nov  7 15:39:10 2025,1.188,11.089,3.48958,3,4.03349,23.3109
Fri Nov  7 15:39:10 2025,1.068,19.1677,3.33541,9,5.6311,36.1315
Fri Nov  7 15:39:10 2025,1.186,29.9229,3.78784,11,7.79872,62.0421
Fri Nov  7 15:39:53 2025,1.27,11.4229,3.3701,3,3.83804,25.6954
Fri Nov  7 15:39:53 2025,1.116,29.0368,3.65824,13,7.73396,57.3182
Fri Nov  7 15:39:53 2025,1.242,45.5419,3.76605,23,5.77542,88.7692
Fri Nov  7 15:40:51 2025,0.988,6.78789,2.74198,3,2.99748,15.4376
Fri Nov  7 15:40:51 2025,1.088,17.4354,2.90817,9,7.41981,34.5406
Fri Nov  7 15:40:50 2025,1.176,26.5218,3.56144,11,7.43544,53.5144
Fri Nov  7 15:41:36 2025,0.912,9.59783,3.25467,3,3.64912,19.7645
Fri Nov  7 15:41:36 2025,1.014,23.0121,3.78841,7,7.88683,44.1997
Fri Nov  7 15:41:36 2025,1.022,27.3101,3.66656,11,7.77594,48.8762
Fri Nov  7 15:42:25 2025,1.016,7.09797,2.68731,3,2.97431,15.4507
Fri Nov  7 15:42:25 2025,0.988,17.3364,2.7704,9,7.60623,28.1722
Fri Nov  7 15:42:25 2025,1.146,25.7141,3.22262,13,7.48305,40.3625
Fri Nov  7 15:43:21 2025,1.19,9.72932,3.16738,3,3.25904,22.2783
Fri Nov  7 15:43:21 2025,0.942,15.2944,2.8691,13,4.6981,25.6119
Fri Nov  7 15:43:21 2025,1.192,26.4649,3.35658,13,7.15093,54.0612
Fri Nov  7 15:44:19 2025,1.024,12.7239,3.77111,3,5.78731,26.2139
Fri Nov  7 15:44:19 2025,1.266,34.5049,3.0401,21,4.37892,62.0827
Fri Nov  7 15:45:33 2025,0.97,8.45083,3.23259,3,3.25477,18.2573
Fri Nov  7 15:45:33 2025,1.084,20.209,3.69843,7,7.70421,40.2151
Fri Nov  7 15:45:33 2025,0.998,20.6213,3.41463,9,7.62973,39.7392
Fri Nov  7 15:46:08 2025,1.262,8.94091,2.72866,3,3.40065,15.2583
Fri Nov  7 15:46:08 2025,0.97,12.2637,3.90067,3,5.90482,19.4187
Fri Nov  7 15:46:08 2025,1.052,35.3167,3.25429,23,8.28366,59.5165
