Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Sat Sep 20 14:57:07 2025,0.84,10.2292,2.78756,6,3.92696,27.4417
Sat Sep 20 14:57:07 2025,0.896,12.2393,2.87464,6,5.05437,32.6494
Sat Sep 20 14:57:07 2025,1.078,19.5328,4.89159,3,12.9648,53.3648
Sat Sep 20 14:57:07 2025,1.122,19.7791,4.85882,3,13.207,55.314
Sat Sep 20 14:57:07 2025,1.026,52.3729,3.00694,30,4.96816,122.893
Sat Sep 20 15:00:46 2025,0.898,11.1265,2.63025,6,3.45054,28.8033
Sat Sep 20 15:00:46 2025,1.148,20.2301,5.64463,3,18.1654,60.2413
Sat Sep 20 15:00:46 2025,1.086,20.1181,4.91306,3,12.9231,53.0849
Sat Sep 20 15:00:46 2025,1.05,40.5271,5.28935,3,31.6107,117.863
Sat Sep 20 15:00:46 2025,1.06,112.557,3.0991,69,5.98574,265.715
Sat Sep 20 15:05:37 2025,0.902,11.7841,2.7071,6,3.45784,31.1475
Sat Sep 20 15:05:37 2025,0.924,16.2867,2.93929,9,7.13129,40.7135
Sat Sep 20 15:05:37 2025,1.158,16.2859,5.14652,3,13.0396,44.9149
Sat Sep 20 15:05:36 2025,0.974,25.8525,2.97548,13,5.50595,62.4588
Sat Sep 20 15:05:37 2025,1.024,39.9656,5.11851,3,33.2252,121.013
Sat Sep 20 15:08:51 2025,1.098,30.1258,4.18467,3,19.3189,90.1601
Sat Sep 20 15:08:52 2025,1.184,31.9773,4.28181,5,20.5466,95.6605
Sat Sep 20 15:08:52 2025,1.018,35.4713,3.03382,20,4.96433,85.9044
Sat Sep 20 15:08:52 2025,1.124,52.9967,4.78592,13,21.8684,146.038
Sat Sep 20 15:08:51 2025,1.042,66.3752,5.0316,3,65.7873,208.32
Sat Sep 20 15:10:47 2025,0.8,5.73667,2.10728,6,1.93627,17.6508
Sat Sep 20 15:10:47 2025,0.832,10.9267,2.9711,6,5.02072,29.615
Sat Sep 20 15:10:47 2025,1.142,16.2273,5.06245,3,12.7417,46.2952
Sat Sep 20 15:10:47 2025,0.968,38.0564,5.18951,3,34.9076,118.985
Sat Sep 20 15:10:47 2025,1.13,48.8988,4.73741,20,19.5785,136.771
Sat Sep 20 15:18:35 2025,0.922,10.7001,2.49486,9,2.04772,28.9595
Sat Sep 20 15:18:34 2025,1.152,23.5339,5.6018,3,18.4178,69.081
Sat Sep 20 15:18:35 2025,1.184,41.4219,4.76555,3,33.905,128.834
Sat Sep 20 15:18:35 2025,1.126,43.6194,4.82226,3,30.8022,132.228
Sat Sep 20 15:18:34 2025,1.108,128.393,4.30423,49,21.1714,321.098
Sat Sep 20 15:21:23 2025,0.852,12.1721,3.03508,6,5.80714,33.6754
Sat Sep 20 15:21:23 2025,0.966,24.4381,2.93898,14,4.93396,60.2185
Sat Sep 20 15:21:23 2025,1.06,53.1156,4.53407,17,21.5939,150.499
Sat Sep 20 15:21:23 2025,1.106,290.496,3.95005,148,21.5452,727.933
Sat Sep 20 15:26:55 2025,0.946,19.9925,2.81122,10,5.42285,48.3023
Sat Sep 20 15:26:55 2025,0.948,21.9772,2.97424,11,4.98007,52.3735
Sat Sep 20 15:26:55 2025,0.944,25.0261,5.00609,3,20.3848,79.744
Sat Sep 20 15:26:55 2025,0.972,30.7239,4.74411,3,19.8841,92.6977
Sat Sep 20 15:26:55 2025,0.986,31.0704,3.06846,16,4.99876,73.9342
Sat Sep 20 15:28:02 2025,0.898,7.93319,2.28319,6,2.01579,23.0286
Sat Sep 20 15:28:01 2025,1.19,20.4469,5.76056,3,18.0514,61.7748
Sat Sep 20 15:28:01 2025,0.96,21.473,2.888,12,4.93719,51.5948
Sat Sep 20 15:28:01 2025,0.968,22.6428,5.51357,3,20.2815,67.7042
Sat Sep 20 15:28:01 2025,0.946,51.9496,5.10985,3,41.3912,163.161
Sat Sep 20 15:29:15 2025,0.854,12.9982,2.94447,6,6.43828,33.0965
Sat Sep 20 15:29:15 2025,1.156,23.4418,5.92126,3,17.7123,68.122
Sat Sep 20 15:29:15 2025,1.166,23.9166,4.39658,3,18.9805,75.4275
Sat Sep 20 15:29:15 2025,1.052,24.0208,4.59063,3,19.2487,76.1948
Sat Sep 20 15:29:15 2025,0.948,33.0045,4.16637,3,20.9112,100.352
Sat Sep 20 15:30:05 2025,0.88,11.7015,2.87616,6,4.92435,31.7797
Sat Sep 20 15:30:05 2025,0.85,12.4597,3.02591,6,6.26582,33.2043
Sat Sep 20 15:30:05 2025,1.178,18.465,5.3775,3,16.0702,53.5132
Sat Sep 20 15:30:05 2025,0.938,25.8336,3.09419,11,6.16559,62.2853
Sat Sep 20 15:30:05 2025,0.944,38.6443,5.15135,3,35.4162,119.326
Sat Sep 20 15:31:03 2025,0.892,10.1022,2.7303,6,2.79197,28.3121
Sat Sep 20 15:31:02 2025,0.978,29.8121,3.11682,13,5.89532,70.2574
Sat Sep 20 15:31:03 2025,0.986,32.741,3.12753,17,6.84769,77.8669
Sat Sep 20 15:31:03 2025,1.078,43.694,4.30597,11,16.6586,116.839
Sat Sep 20 15:31:05 2025,1.024,53.9767,3.0829,30,4.94838,127.526
Sat Sep 20 15:32:14 2025,0.824,9.89924,2.85967,6,4.14465,27.1125
Sat Sep 20 15:32:14 2025,0.828,9.94911,2.77277,6,3.90539,27.5692
Sat Sep 20 15:32:14 2025,0.93,19.1198,2.81966,12,4.91568,47.3912
Sat Sep 20 15:32:16 2025,0.984,25.4908,5.29542,3,20.255,77.2584
Sat Sep 20 15:34:15 2025,0.854,7.02951,2.13723,6,1.96191,21.2397
Sat Sep 20 15:34:15 2025,0.914,8.07645,2.23379,6,2.03289,23.9008
Sat Sep 20 15:34:15 2025,0.828,11.3033,2.98244,6,5.37364,30.339
Sat Sep 20 15:34:15 2025,0.956,25.7208,3.08099,12,5.37408,64.9914
Sat Sep 20 15:34:14 2025,1.08,174.595,3.52982,93,22.1187,426.925
Sat Sep 20 15:37:34 2025,0.898,10.9778,2.6924,6,3.51782,30.7141
Sat Sep 20 15:37:34 2025,1.102,44.2614,4.45094,13,14.3126,110.71
Sat Sep 20 15:37:34 2025,1.11,51.4182,4.76162,15,21.4395,141.835
Sat Sep 20 15:37:34 2025,1.032,56.7145,2.92602,36,4.98536,131.328
Sat Sep 20 15:37:34 2025,1.092,235.072,3.68598,115,14.6016,565.242
Sat Sep 20 15:41:45 2025,0.836,11.792,2.93436,6,4.9763,29.4071
Sat Sep 20 15:41:45 2025,0.806,12.2901,3.01188,6,5.81175,30.6522
Sat Sep 20 15:41:45 2025,0.854,11.7243,2.88369,6,4.75195,29.3748
Sat Sep 20 15:41:45 2025,1.058,31.0129,4.12059,3,19.7401,94.1994
Sat Sep 20 15:41:45 2025,0.996,31.0869,3.06841,15,5.00829,74.5667
Sat Sep 20 15:44:17 2025,0.892,9.51864,2.58636,6,2.55513,26.9189
Sat Sep 20 15:44:17 2025,0.814,9.13407,2.731,6,3.36131,25.4967
Sat Sep 20 15:44:17 2025,0.872,11.7122,2.97977,6,5.07673,31.2533
Sat Sep 20 15:44:16 2025,0.946,42.1809,5.62405,3,36.5899,130.151
Sat Sep 20 15:44:16 2025,1.096,49.0113,5.10879,13,19.9492,135.478
Sat Sep 20 15:45:59 2025,0.802,7.45943,2.6029,6,1.97419,21.7761
Sat Sep 20 15:45:59 2025,0.878,7.77687,2.39626,6,1.94162,22.8639
Sat Sep 20 15:45:59 2025,0.808,10.617,2.94738,7,4.76744,28.4001
Sat Sep 20 15:45:59 2025,0.946,25.6374,3.07049,11,5.56039,62.9381
Sat Sep 20 15:45:59 2025,1.106,26.8688,5.48067,3,18.4637,78.4138
Sat Sep 20 15:49:59 2025,0.84,9.71373,2.79247,6,3.62303,26.6987
Sat Sep 20 15:49:58 2025,0.866,11.8292,2.81256,6,4.43019,30.3068
Sat Sep 20 15:49:58 2025,0.928,14.6773,2.79883,9,4.62536,36.3285
Sat Sep 20 15:49:59 2025,1.112,20.7828,6.20353,3,18.7819,62.745
Sat Sep 20 15:49:58 2025,0.954,49.7632,4.42986,13,26.1368,136.397
Sat Sep 20 15:51:21 2025,0.846,4.96541,2.24654,3,1.61673,17.4452
Sat Sep 20 15:51:21 2025,0.844,10.7808,2.83231,7,4.22087,29.4911
Sat Sep 20 15:51:21 2025,0.904,11.1921,2.56665,10,2.37981,30.0865
Sat Sep 20 15:51:21 2025,1.022,20.6343,4.77522,3,13.7461,60.2962
Sat Sep 20 15:51:21 2025,0.926,21.7702,3.03694,10,4.89618,54.9594
Sat Sep 20 15:52:18 2025,0.836,7.86817,2.25135,6,1.90674,22.9147
Sat Sep 20 15:52:18 2025,1.132,20.298,5.58705,3,18.5917,66.528
