Start Time, Target Speed, Time Span, Average Distance, Sighting Count, Max Sighting Interval, Energy Spent
Thu Sep 18 15:54:17 2025,0.978,27.9515,3.03524,13,6.0331,74.9873
Thu Sep 18 15:56:02 2025,0.87,8.66711,2.25876,6,3.00026,23.4276
Thu Sep 18 15:56:02 2025,1.092,53.3308,4.34063,19,13.0813,129.544
Thu Sep 18 15:57:34 2025,0.812,15.1362,3.00233,6,6.10774,37.942
Thu Sep 18 15:57:34 2025,0.962,26.8681,4.40785,1,22.2968,86.7358
Thu Sep 18 15:57:34 2025,0.992,27.9211,2.91818,15,4.91195,72.7044
Thu Sep 18 15:57:34 2025,1.066,59.0588,4.61652,19,20.8243,156.333
Thu Sep 18 15:59:14 2025,1.134,46.0235,4.37596,1,45.7582,125.66
Thu Sep 18 16:02:31 2025,0.852,8.13284,2.35667,6,1.90767,24.1739
Thu Sep 18 16:02:31 2025,0.866,14.0632,2.71621,9,3.68957,36.8058
Thu Sep 18 16:02:32 2025,1.084,26.2536,3.76267,1,21.8984,84.333
Thu Sep 18 16:02:31 2025,1.094,62.2335,4.70368,19,21.8373,152.038
Thu Sep 18 16:04:35 2025,0.866,12.4857,2.50599,9,2.13307,30.6363
Thu Sep 18 16:04:35 2025,0.934,26.3043,4.69203,1,22.687,85.4201
Thu Sep 18 16:04:35 2025,1.166,64.1485,4.87851,15,21.8929,174.326
Thu Sep 18 16:04:35 2025,1.168,84.7459,4.84839,18,22.0638,219.847
Thu Sep 18 16:07:12 2025,0.956,22.4849,2.9383,11,4.89731,58.1349
Thu Sep 18 16:07:12 2025,0.93,30.3527,2.90776,16,4.90196,73.4085
Thu Sep 18 16:07:12 2025,1.036,54.4452,4.31068,22,18.5848,131.657
Thu Sep 18 16:07:12 2025,1.036,65.6355,3.90723,23,22.7224,171.689
Thu Sep 18 16:08:26 2025,1.198,20.0808,5.5372,3,17.0323,49.8224
Thu Sep 18 16:08:26 2025,1.18,53.2458,4.82671,9,25.6223,142.489
Thu Sep 18 16:08:26 2025,1.05,56.1653,4.0425,23,14.4833,140.704
Thu Sep 18 16:08:26 2025,1.142,58.5516,5.20865,19,17.8992,147.731
Thu Sep 18 16:10:24 2025,0.87,18.1957,2.93573,9,5.97767,46.6333
Thu Sep 18 16:10:24 2025,0.974,27.6367,4.25683,1,22.1579,88.451
Thu Sep 18 16:10:24 2025,1.14,55.8611,4.60514,15,16.3673,140.616
Thu Sep 18 16:10:25 2025,1.066,62.4132,4.32819,23,22.7111,155.205
Thu Sep 18 16:13:47 2025,0.842,12.793,2.74884,6,3.60254,31.2269
Thu Sep 18 16:13:48 2025,0.934,20.4401,2.75288,10,3.60843,50.2273
Thu Sep 18 16:13:48 2025,0.828,26.3422,5.34995,1,23.4786,82.3956
Thu Sep 18 16:13:47 2025,1.17,54.1856,4.89645,17,13.0241,126.885
Thu Sep 18 16:16:41 2025,0.904,11.4144,2.35266,9,1.99991,31.595
Thu Sep 18 16:16:41 2025,1.02,25.1046,3.96944,1,20.8308,84.6233
Thu Sep 18 16:16:41 2025,1.018,26.0478,4.79423,1,21.5488,86.8834
Thu Sep 18 16:16:41 2025,0.96,44.8527,3.11378,22,4.96368,107.71
Thu Sep 18 16:18:02 2025,0.852,7.81419,2.43281,6,1.88038,23.8757
Thu Sep 18 16:18:01 2025,0.876,10.2768,2.5965,7,2.27556,29.0066
Thu Sep 18 16:18:01 2025,1.082,26.2496,3.8488,1,21.7094,84.4438
Thu Sep 18 16:18:01 2025,0.938,26.7623,5.23201,1,23.1781,84.6594
Thu Sep 18 16:18:43 2025,0.886,4.96273,2.10724,3,1.57561,17.3
Thu Sep 18 16:18:43 2025,0.912,17.0899,2.59354,12,3.49924,40.4476
Thu Sep 18 16:18:44 2025,0.84,17.5243,2.98986,9,6.39977,41.4168
Thu Sep 18 16:18:43 2025,1.16,55.0209,4.87236,15,17.6264,133.506
Thu Sep 18 16:18:42 2025,1.14,59.9834,5.04169,19,20.0668,149.371
Thu Sep 18 16:21:49 2025,1.184,14.5849,3.66998,1,13.4445,44.214
Thu Sep 18 16:21:48 2025,0.902,25.659,4.65059,1,21.723,85.1928
Thu Sep 18 16:21:49 2025,1.012,24.9434,3.94386,1,20.6585,83.4377
Thu Sep 18 16:21:48 2025,1.188,35.1126,4.69293,5,24.8846,104.567
